source_node_type,gcp_node_type,source_cloud,vcpus,ram_gb,notes,gcp_zone_hint
Standard_E32d_v3,n2d-highmem-32,azure,32,256,32 vCPU 256 GB (AMD N2D),
Standard_E4d_v4,n2d-highmem-4,azure,4,32,4 vCPU 32 GB (AMD N2D),
Standard_E8d_v4,n2d-highmem-8,azure,8,64,8 vCPU 64 GB (AMD N2D),
Standard_E16d_v4,n2d-highmem-16,azure,16,128,16 vCPU 128 GB (AMD N2D),
Standard_E32d_v4,n2d-highmem-32,azure,32,256,32 vCPU 256 GB (AMD N2D),
# ── Azure F series (Compute Optimised) ────────────────────────────────────────
Standard_F4s_v2,n1-highcpu-4,azure,4,8,4 vCPU 8 GB,
Standard_F8s_v2,n1-highcpu-8,azure,8,16,8 vCPU 16 GB,
Standard_F16s_v2,n1-highcpu-16,azure,16,32,16 vCPU 32 GB,
Standard_F32s_v2,n1-highcpu-32,azure,32,64,32 vCPU 64 GB,
Standard_F64s_v2,n1-highcpu-64,azure,64,128,64 vCPU 128 GB,
Standard_F4s,n1-highcpu-4,azure,4,8,4 vCPU 8 GB (v1),
Standard_F8s,n1-highcpu-8,azure,8,16,8 vCPU 16 GB (v1),
Standard_F16s,n1-highcpu-16,azure,16,32,16 vCPU 32 GB (v1),
# ── Azure L series (Storage Optimised) ────────────────────────────────────────
Standard_L4s,n1-standard-4,azure,4,32,4 vCPU 32 GB; GCP has no direct storage-opt equivalent,us-east1-b
Standard_L8s_v2,n1-highmem-8,azure,8,64,8 vCPU 64 GB; use local SSD on GCP,
Standard_L16s_v2,n1-highmem-16,azure,16,128,16 vCPU 128 GB,
Standard_L32s_v2,n1-highmem-32,azure,32,256,32 vCPU 256 GB,
# ── Azure NC/ND GPU series ─────────────────────────────────────────────────────
Standard_NC6,a2-highgpu-1g,azure,6,56,GPU: K80 → A100 (nearest GCP GPU),
Standard_NC12,a2-highgpu-2g,azure,12,112,GPU: K80 → A100,
Standard_NC24,a2-highgpu-4g,azure,24,224,GPU: K80 → A100,
Standard_NC6s_v3,a2-highgpu-1g,azure,6,112,GPU: V100 → A100,
Standard_NC12s_v3,a2-highgpu-2g,azure,12,224,GPU: V100 → A100,
Standard_NC24s_v3,a2-highgpu-4g,azure,24,448,GPU: V100 → A100,
Standard_D8_v3,n1-standard-8,azure,8,32,8 vCPU 32 GB,
Standard_D4_v3,n1-standard-4,azure,4,16,4 vCPU 16 GB,us-east1-b
Standard_D16_v3,n1-standard-16,azure,16,64,16 vCPU 64 GB,
